,lon,lat,mPET_v_11,Ta2_11,PET_v_11,WBGT_11,mPET_v_12,Ta2_12,PET_v_12,WBGT_12,mPET_v_13,Ta2_13,PET_v_13,WBGT_13,mPET_v_14,Ta2_14,PET_v_14,WBGT_14
25.038872_121.6358,121.6358,25.038872,43.08050805664055,29.589508,42.68050805664063,31.833197540283205,42.46647363281237,29.735474,42.04647363281246,32.01540261650085,42.81964868164047,29.958649,42.60964868164052,31.84198473167419,43.92192529296869,30.510925,43.74192529296872,33.14284645080566
25.056839_121.430176,121.430176,25.056839,43.93719384765614,31.286194,43.757193847656175,32.00148713302612,42.8937697753906,31.68277,42.50376977539048,32.20970333099365,43.39569287109379,31.322693,43.1736928710936,31.83103413772583,42.841959472656136,32.17096,42.32195947265624,33.172114566802975
25.056915_121.450714,121.450714,25.056915,44.23770410156237,31.496704,44.1277041015624,32.09752376556396,43.00709863281249,31.876099,42.68709863281236,32.33727792358398,44.00441552734368,31.563416,44.06441552734367,31.9679384059906,43.41618603515626,32.328186,43.09918603515612,33.286974395751955
25.056984_121.47128,121.47128,25.056984,43.971599365234304,31.5206,44.03159936523429,32.097978576660154,42.679948974609225,31.828949,42.2999489746093,32.33716193771362,44.375920654296735,31.57492,44.47592065429672,32.00137052345276,44.24619531249984,32.325195,44.13619531249986,33.30388717842102
25.057083_121.49182,121.49182,25.057083,44.01473291015617,31.513733,43.94473291015618,32.10106620979309,42.5752016601561,31.744202,42.03520166015621,32.30912271118164,44.48820214843733,31.507202,44.53520214843765,31.988679752349856,44.39958984375005,32.32959,44.406589843750034,33.31872309303284
25.057137_121.51239,121.51239,25.057137,44.27835473632799,31.507355,44.28835473632799,32.11289654541015,42.46441064453112,31.68341,42.154410644531175,32.29153417778015,44.65332055664061,31.47232,44.53532055664069,31.99789520454407,44.154253173827975,32.303253,44.054253173828,33.34680081176757
25.057198_121.53296,121.53296,25.057198,44.826748291015576,31.485748,44.74674829101559,32.12531838035584,42.53876611328109,31.647766,42.15876611328117,32.295926706314084,44.93878320312493,31.477783,45.03878320312491,32.02363233184814,43.98505761718738,32.284058,43.955057617187386,33.373178201675415
25.057274_121.55353,121.55353,25.057274,45.129558349609255,31.428558,45.24955834960923,32.13096625709534,42.38589013671861,31.57489,41.95589013671869,32.307490211486815,44.37745019531234,31.48645,44.33745019531235,32.066498157501215,43.7380495605468,32.25705,43.408049560546864,33.39071607780456
25.057335_121.5741,121.5741,25.057335,45.83456445312493,31.403564,46.08456445312488,32.16052793121338,42.41355249023422,31.522552,41.83355249023433,32.326032764434814,43.579555908203126,31.488556,43.37955590820297,32.10199024581909,43.90452050781239,32.23352,43.44452050781248,33.41240485191345
25.05738_121.594635,121.594635,25.05738,45.614103027343695,31.243103,45.53410302734371,32.083328977584834,42.65190087890621,31.3609,42.29190087890608,32.25986004447937,43.65902246093746,31.348022,43.669022460937455,32.04679907035828,44.0472731933592,32.086273,43.89727319335923,33.34020292091369
25.057434_121.615204,121.615204,25.057434,45.77853417968738,31.097534,46.1025341796877,32.05554509735107,42.563908935546834,31.262909,41.94390893554676,32.252376438140864,43.99599267578113,31.304993,44.07599267578112,32.05045151519775,44.332352539062455,32.011353,44.19235253906248,33.33406743431091
25.057503_121.63574,121.63574,25.057503,44.82825585937499,30.687256,44.690255859375206,31.86933177947998,42.427068115234285,30.876068,41.777068115234215,32.056019311904905,43.72171166992175,31.010712,43.5117116699218,31.86912563705444,44.59201074218733,31.66101,44.62201074218733,33.1752027721405
25.075455_121.430084,121.430084,25.075455,44.872397705078,31.151398,44.862397705078,32.00689099311828,41.98240380859367,31.501404,41.42240380859359,32.21582369422912,42.98079736328112,31.229797,42.76079736328116,31.87904104995728,42.715669189453,32.00467,42.12566918945312,33.179717226028444
25.075554_121.45062,121.45062,25.075554,45.73018701171872,31.479187,45.68018701171873,32.13752388191223,42.706329589843584,31.77533,42.196329589843685,32.37754559135437,44.49523095703108,31.524231,44.3752309570311,31.99191486549377,43.68078393554682,32.309784,43.160783935546725,33.32594200325012
25.075615_121.47119,121.47119,25.075615,44.92463037109369,31.53363,44.82463037109371,32.1362636756897,42.6207143554686,31.769714,42.27071435546867,32.38361316871643,44.81742700195309,31.556427,44.72742700195311,32.003923706054685,44.15476098632798,32.32376,44.20476098632797,33.32502560043334
25.075691_121.49176,121.49176,25.075691,44.5896701660157,31.53067,44.65167016601562,32.14297088050842,42.79582177734387,31.754822,42.325821777343656,32.38187264251709,44.54312353515645,31.539124,44.60012353515632,32.023803071975706,44.223662353515465,32.322662,44.33366235351581,33.346223932266234
25.07576_121.51233,121.51233,25.07576,44.40690942382797,31.52591,44.38690942382797,32.15731567192078,42.7577402343751,31.70874,42.22974023437492,32.3646832447052,44.54984790039075,31.512848,44.40384790039047,32.03554664421081,44.01672631835925,32.275726,43.99672631835925,33.3583184261322
25.075829_121.5329,121.5329,25.075829,44.26825585937485,31.437256,44.07825585937489,32.12095021057129,42.39995874023423,31.588959,41.89995874023433,32.302182910919186,43.92849999999992,31.4375,43.708499999999965,31.994031970977783,43.90945703124987,32.168457,43.46945703124996,33.31721765136719
25.075897_121.55347,121.55347,25.075897,44.65420922851559,31.38321,44.71420922851558,32.11960791587829,42.22012597656237,31.479126,41.86012597656244,32.27856398773193,43.56594873046873,31.384949,43.58594873046873,31.98620432662964,43.86159570312487,32.110596,43.48159570312495,33.305442968368524
25.075958_121.574005,121.574005,25.075958,44.47127099609374,31.340271,44.311270996093576,32.12820558166504,42.27452416992172,31.393524,41.8645241699218,32.27318454360962,43.27922509765609,31.368225,42.93922509765616,32.02418294143676,44.00897119140609,32.10797,43.89897119140611,33.33423972511291
25.07602_121.594574,121.594574,25.07602,44.90320825195301,31.232208,44.82320825195303,32.10734804344177,42.86600244140616,31.315002,42.3850024414063,32.26417145729065,44.25815942382796,31.30716,44.208159423827965,32.065039218902584,44.31777124023435,32.09677,44.26777124023436,33.365736051559445
25.076073_121.61514,121.61514,25.076073,44.73349877929677,31.092499,44.71349877929677,32.04619109725952,43.08733911132797,31.21634,42.57733911132807,32.22249925613403,44.486697021484346,31.245697,44.36669702148437,32.058564941406246,44.124538818359376,32.03354,43.94453881835921,33.33804253387451
25.076134_121.63571,121.63571,25.076134,44.793774658203,31.062775,44.793774658203,32.06255326461792,42.72903833007804,31.208038,42.295038330078135,32.24213258552551,44.00986962890613,31.27887,44.01986962890612,32.052437265396115,43.8997768554686,32.058777,43.68977685546864,33.36570191383362
25.094086_121.42999,121.42999,25.094086,43.82268334960936,30.631683,43.64468334960956,32.617479902267455,41.9297194824217,30.96872,41.209719482421846,32.7025749015808,43.80075341796857,30.809753,43.6807534179686,32.47608958435058,42.85553613281245,31.524536,42.1355361328124,33.70785813140869
25.09417_121.45056,121.45056,25.09417,43.41273754882813,31.324738,43.32873754882833,32.27757617950439,42.39572534179674,31.624725,41.75572534179687,32.476278783798215,43.968620849609295,31.46762,43.9186208496093,32.11824161148071,43.00346337890611,32.212463,42.49346337890621,33.401058383941646
25.094246_121.47113,121.47113,25.094246,43.530544677734376,31.439545,43.31054467773422,32.27292340660095,42.67679101562482,31.685791,42.32679101562489,32.47430288696289,45.35963403320299,31.568634,45.23963403320301,32.07901112747192,43.40404077148437,32.27304,43.10404077148423,33.402998077392574
25.094315_121.4917,121.4917,25.094315,44.44515039062483,31.50415,44.30515039062486,32.260167490005486,42.92386010742185,31.71286,42.43386010742175,32.43378576660156,45.12440454101554,31.583405,45.02440454101556,32.05505927276611,43.62928857421871,32.30829,43.31428857421895,33.39924937629699
25.094383_121.51227,121.51227,25.094383,44.42070458984359,31.509705,44.22070458984363,32.23607294464111,42.84336328124999,31.672363,42.45336328124986,32.38684024810791,45.47780175781234,31.596802,45.39780175781236,32.06903673744201,43.83613671874991,32.265137,43.40613671874999,33.38074074935913
25.094452_121.53281,121.53281,25.094452,43.7237966308593,31.272797,43.68379663085931,32.053504146575925,42.44042944335943,31.37143,41.80242944335931,32.197555015563964,44.99458764648426,31.333588,44.97458764648427,31.89702934837341,43.9814577636717,32.000458,43.89145776367172,33.21259896278381
25.094505_121.553375,121.553375,25.094505,43.32418847656243,30.893188,43.14418847656247,31.81566699409485,41.9570939941408,30.940094,41.50109399414053,31.957052082061768,43.34006616210932,30.949066,43.27006616210933,31.67915558433533,43.9047915039062,31.573792,43.75479150390623,32.98148900222778
25.09459_121.573944,121.573944,25.09459,42.40805395507826,30.374054,42.17505395507799,31.50187490653992,41.531289306640616,30.39029,40.97128930664053,31.6330982875824,41.21532739257798,30.404327,40.71532739257808,31.38703674697876,43.188503662109376,31.097504,43.03850366210921,32.71205520439148
25.09465_121.59451,121.59451,25.09465,43.095329833984586,30.09433,42.70532983398427,32.03771590042114,42.06683081054707,30.05783,41.5388308105468,32.17504085350036,42.14065014648455,30.12265,41.55365014648431,31.99033588409424,43.34750512695305,30.886505,43.177505126953086,33.298916231155395
25.094696_121.61508,121.61508,25.094696,43.845987792968685,30.424988,43.57598779296874,32.312873775482174,42.9658779296874,30.374878,42.68587792968746,32.481450963974,44.27377587890612,30.532776,44.01377587890617,32.32508949661255,44.06460839843737,31.323608,43.90460839843741,33.643391422271726
25.09475_121.63565,121.63565,25.09475,44.19824853515616,30.617249,44.12824853515617,32.42042317008972,43.47453759765609,30.563538,43.24453759765613,32.658673133850094,45.26478051757806,30.84378,45.084780517578096,32.46265069007873,44.65642578125005,31.586426,44.39742578124986,33.77966213417053
25.112709_121.4299,121.4299,25.112709,44.845450683593576,29.87445,44.98545068359375,32.386660364151,41.38093164062498,30.179932,40.59093164062494,32.47597192764282,43.38224145507807,29.991241,43.07524145507814,32.17478357887268,42.00686914062497,30.76587,41.336869140624906,33.41427637863159
25.112793_121.45047,121.45047,25.112793,42.88221459960935,30.651215,42.6322145996092,32.93824341011047,42.13794824218749,30.996948,41.517948242187416,33.04621653366089,43.34360986328117,30.86261,43.06360986328123,32.685213722229,42.49871777343768,31.485718,41.91671777343743,33.95072479057312
