,鄉鎮名稱,村里名稱,用電量_2011,用電量_2012,用電量_2013,用電量_2014,用電量_2015,population_2011,population_2012,population_2013,population_2014,population_2015,人均用電量_2011,人均用電量_2012,人均用電量_2013,人均用電量_2014
103,大安區,仁慈里,3826.0,2529.0,2495.0,8875.0,3758,5876.0,5825.0,5845.0,5839.0,5839.0,0.6511232130701157,0.43416309012875537,0.4268605645851155,1.5199520465833192
104,大安區,錦泰里,676889.0,676028.0,671699.0,699763.0,602915,4774.0,4218.0,4080.0,3818.0,3818.0,141.7865521575199,160.27216690374584,164.63210784313725,183.27998952331063
105,大安區,住安里,409350.0,411632.0,427149.0,436511.0,481216,5582.0,5607.0,5574.0,5533.0,5533.0,73.3339304908635,73.4139468521491,76.6324004305705,78.89228266763058
106,大安區,黎和里,3489.0,4124.0,4822.0,4469.0,3583,4886.0,4930.0,4981.0,5011.0,5011.0,0.7140810478919362,0.8365111561866125,0.9680786990564144,0.8918379564957094
107,大安區,群賢里,449464.0,481797.0,474456.0,451223.0,457425,6317.0,6224.0,6180.0,6191.0,6191.0,71.1514959632737,77.40954370179949,76.77281553398058,72.88370214827977
108,大安區,光明里,868.0,809.0,1018.0,2457.0,18407,4136.0,3915.0,3890.0,3852.0,3852.0,0.20986460348162475,0.2066411238825032,0.2616966580976864,0.6378504672897196
109,大安區,群英里,,49.0,4396.0,1797.0,2389,7573.0,7455.0,7533.0,7429.0,7429.0,,0.006572769953051643,0.5835656444975441,0.24188989096782879
110,大安區,和安里,,101.0,1649.0,1622.0,--,7511.0,7448.0,7511.0,7505.0,7505.0,,0.013560687432867884,0.2195446678205299,0.21612258494337108
111,大安區,德安里,,19.0,6880.0,18360.0,32148,6109.0,6073.0,6028.0,6041.0,6041.0,,0.0031286020088918164,1.141340411413404,3.03923191524582
112,大安區,龍安里,,12047.0,,,--,8074.0,8129.0,8144.0,8404.0,8404.0,,1.4819781030877106,,
