,lon,lat,mPET_v_11,Ta2_11,PET_v_11,WBGT_11,mPET_v_12,Ta2_12,PET_v_12,WBGT_12,mPET_v_13,Ta2_13,PET_v_13,WBGT_13,mPET_v_14,Ta2_14,PET_v_14,WBGT_14
25.03852_121.51248,121.51248,25.03852,11.916246093750004,13.177246,10.416246093750017,16.152387855529785,15.05004736328126,15.511047,13.770047363281265,18.257251969337464,18.4770290527345,16.58603,16.857029052734404,18.60857849216461,20.03764868164061,16.958649,18.03664868164061,18.00339843559265
25.038582_121.53302,121.53302,25.038582,11.46992651367189,13.2309265,10.109926513671876,16.187194376945495,15.28260961914063,15.54361,13.942609619140637,18.28093227577209,18.306468750000096,16.605469,16.716468750000004,18.62474184989929,20.06045922851554,17.03946,18.070459228515556,18.056064002990723
25.038643_121.55359,121.55359,25.038643,11.094402832031252,13.225403,9.834402832031255,16.20054101753235,15.43233349609374,15.5043335,14.073333496093758,18.27398204421997,18.39674340820324,16.605743,16.806743408203143,18.65407004737854,20.362287841796903,17.101288,18.3422878417969,18.106131701469423
25.038704_121.57416,121.57416,25.038704,10.839550537109329,12.845551,9.54455053710938,15.998588388442991,15.238703369140634,15.164703,13.823703369140633,18.088268243789678,18.54378564453128,16.292786,16.89378564453133,18.51560831832886,20.39148339843757,16.870483,18.35148339843756,17.97578054904938
25.038757_121.594696,121.594696,25.038757,11.158707031250003,12.449707,9.658707031250016,15.784371749877929,15.442004638671865,14.811005,13.920004638671893,17.887046434402468,18.938784423828267,15.947784,17.078784423828132,18.355745725631717,20.631739746093714,16.57074,18.54173974609389,17.813573265075682
25.03881_121.615265,121.615265,25.03881,12.18241918945313,12.473419,10.502419189453144,15.9178656873703,16.026754394531253,14.835754,14.484754394531256,18.038112854957586,19.96515893554682,15.919159,18.10015893554689,18.53242717075348,22.265577636718856,16.504578,20.16557763671884,18.008858898162842
25.038872_121.6358,121.6358,25.038872,11.55884375000001,12.089844,9.908843750000004,15.686113003730773,15.514714599609396,14.463715,13.912714599609386,17.81030730724335,19.614170898437468,15.550171,17.681170898437507,18.323610109329223,22.841157470703223,16.130157,20.64115747070319,17.81398233985901
25.056839_121.430176,121.430176,25.056839,11.477813476562508,12.908813,10.007813476562518,15.926517426490785,15.71219506835937,15.381195,14.30019506835937,18.149685872077946,19.167812744140743,16.326813,17.477812744140635,18.462863277435304,20.051163574218787,16.730164,18.051163574218787,17.802828413009646
25.056915_121.450714,121.450714,25.056915,12.043234619140629,13.184235,10.503234619140638,16.096132571220398,16.618314208984344,15.553314,15.142314208984384,18.24819454574585,19.41643334960951,16.475433,17.7264333496094,18.55552692127228,20.283905273437554,16.852905,18.273905273437556,17.90624099445343
25.056984_121.47128,121.47128,25.056984,12.089296630859376,13.210297,10.539296630859388,16.120260842323304,16.56934838867196,15.588348,15.107348388671884,18.283759046554568,19.13293359375009,16.481934,17.45293359375014,18.544292010307316,20.148393798828167,16.797394,18.138393798828165,17.901675073623657
25.057083_121.49182,121.49182,25.057083,12.336050781250018,13.227051,10.756050781250009,16.145084273338316,15.85276879882812,15.531769,14.46776879882811,18.2497264919281,18.935436035156307,16.484436,17.27543603515636,18.548602430343628,20.15533105468754,16.814331,18.135331054687537,17.934897641181944
25.057137_121.51239,121.51239,25.057137,12.489588378906266,13.290588,10.889588378906256,16.19257241630554,15.691191650390625,15.540192,14.319191650390628,18.26447176933289,19.19181176757821,16.550812,17.49181176757826,18.595481015205383,20.04234643554688,16.911346,18.052346435546884,17.993343347549438
25.057198_121.53296,121.53296,25.057198,12.126392578125005,13.327393,10.606392578125014,16.22523254108429,15.549076416015602,15.597076,14.196076416015632,18.29869572353363,18.899245849609407,16.608246,17.249245849609462,18.630670822143557,19.98139550781264,17.030396,18.00139550781264,18.05778735160828
25.057274_121.55353,121.55353,25.057274,11.783945068359383,13.224945,10.333945068359393,16.18853429698944,15.766531005859372,15.575531,14.364531005859378,18.29565031051636,18.884555908203158,16.613556,17.24455590820321,18.667010182380675,20.018147216797004,17.107147,18.038147216797007,18.09410915088653
25.057335_121.5741,121.5741,25.057335,12.135160400390616,13.20816,10.607160400390637,16.2173513212204,16.239328857421906,15.568329,14.79732885742189,18.31679182815552,19.34875512695322,16.667755,17.673755126953022,18.74806847858429,20.373026367187517,17.202026,18.363026367187512,18.156408205986025
25.05738_121.594635,121.594635,25.05738,12.175325683593767,13.046326,10.595325683593758,16.149519010543823,16.427788330078016,15.426788,14.925788330078134,18.253070887565613,19.34333886718761,16.522339,17.683338867187512,18.70540034389496,20.961308837890737,17.160309,18.901308837890728,18.14327258586884
25.057434_121.615204,121.615204,25.057434,11.738125976562504,12.979126,10.258125976562514,16.13674835395813,16.39779174804677,15.392792,14.871791748046885,18.2618294172287,19.112699218750084,16.4917,17.47269921875014,18.70720362377167,21.45176660156253,17.160767,19.37176660156252,18.16656697750092
25.057503_121.63574,121.63574,25.057503,10.831542724609394,12.762543,9.52154272460938,16.016513363838197,15.436112304687494,15.115112,13.984112304687502,18.11603039741516,18.619218994140667,16.268219,16.999218994140726,18.604022152900697,21.600851074218845,16.909851,19.520851074218832,18.03810266113281
25.075455_121.430084,121.430084,25.075455,12.110115722656264,12.831116,10.480115722656256,15.885409430503843,15.806693359374991,15.335693,14.36469335937502,18.13215548324585,19.370517578125,16.280518,17.63151757812504,18.435485038757324,20.356474853515717,16.705475,18.316474853515707,17.802078126907347
25.075554_121.45062,121.45062,25.075554,13.156373779296915,13.139374,11.428373779296887,16.06596919822693,16.958829589843795,15.58783,15.476829589843751,18.27450618648529,19.993910156250067,16.48291,18.27391015625011,18.561571653366087,20.607381835937595,16.916382,18.57738183593759,17.93635018825531
25.075615_121.47119,121.47119,25.075615,13.027920898437504,13.268921,11.33792089843752,16.138538650512697,17.480436035156373,15.609436,15.920436035156245,18.27420256614685,19.88714257812504,16.546143,18.167142578125084,18.579798998832704,20.357801757812567,16.846802,18.32780175781256,17.927539193153383
25.075691_121.49176,121.49176,25.075691,12.84473486328126,13.315735,11.164734863281252,16.176930906295777,17.280487304687593,15.599487,15.7204873046875,18.27400851726532,19.890416503906284,16.589417,18.13041650390632,18.59476719856262,20.462805419921956,16.881805,18.432805419921948,17.97642381000519
25.07576_121.51233,121.51233,25.07576,12.420623535156269,13.351624,10.86062353515626,16.20527901172638,16.64514501953118,15.611145,15.170145019531258,18.29121611690521,19.97735253906254,16.636353,18.187352539062573,18.6349946975708,20.28428857421879,16.933289,18.254288574218787,18.010029457092287
25.075829_121.5329,121.5329,25.075829,12.061124023437504,13.302124,10.551124023437517,16.183432120323182,16.111036621093763,15.600037,14.689036621093768,18.27847119808197,19.502215820312625,16.621216,17.752215820312507,18.634780953407287,19.909016357422004,16.998016,17.93901635742201,18.02419711971283
25.075897_121.55347,121.55347,25.075897,12.15640502929686,13.221405,10.620405029296888,16.15909067440033,15.61290161132815,15.567902,14.24690161132813,18.264167994499207,19.059115234375064,16.568115,17.379115234375114,18.63392296981812,19.80186303710948,17.040863,17.841863037109487,18.045259338378905
25.075958_121.574005,121.574005,25.075958,12.457903808593764,13.188904,10.847903808593756,16.181124493598936,16.066654296875004,15.545654,14.624654296875018,18.27456536960602,19.165431152343825,16.604431,17.505431152343878,18.703063411712645,20.217882324218756,17.116882,18.227882324218758,18.10529471778869
25.07602_121.594574,121.594574,25.07602,12.306014160156266,13.127014,10.706014160156258,16.185896903038024,16.47933251953114,15.4783325,14.96733251953126,18.267854505538946,18.88481103515628,16.593811,17.284811035156345,18.74113894367218,20.875277343750103,17.134277,18.835277343750096,18.144124398231508
25.076073_121.61514,121.61514,25.076073,11.690563720703132,13.071564,10.25056372070314,16.181857693672182,15.765572753906245,15.374573,14.342572753906218,18.22652185058594,18.605804199218724,16.536804,17.017804199218812,18.736659889221198,21.326875244140645,17.115875,19.246875244140632,18.13547480201721
25.076134_121.63571,121.63571,25.076134,11.079018310546894,13.050018,9.80901831054688,16.20487695503235,15.82507470703124,15.364075,14.39307470703127,18.25292729854584,18.64398950195313,16.53299,17.073989501953196,18.76151435661316,21.639508300781312,17.158508,19.5695083007813,18.165915050506594
25.094086_121.42999,121.42999,25.094086,12.575285400390628,12.786285,10.875285400390643,15.963431534767151,15.751507812499993,15.270508,14.32950781250002,18.25462140464783,19.636517578125066,16.155518,17.766517578125082,18.579310410499573,20.56956176757808,16.519562,18.542561767578043,17.99069355392456
25.09417_121.45056,121.45056,25.09417,13.618530517578115,13.1875305,11.85653051757813,16.09081279659271,16.82977075195313,15.708771,15.347770751953131,18.35668035030365,19.960357910156304,16.529358,18.25035791015635,18.598385645866397,20.341765380859425,16.940765,18.351765380859423,17.96815452671051
25.094246_121.47113,121.47113,25.094246,13.60286889648437,13.321869,11.860868896484384,16.15672267150879,17.403941894531346,15.702942,15.903941894531249,18.331429699897765,20.64152661132809,16.583527,18.89452661132816,18.61606134033203,20.538733154296956,16.957733,18.508733154296948,17.988402163505555
25.094315_121.4917,121.4917,25.094315,12.821232666015636,13.382233,11.181232666015628,16.194735847473144,18.02721582031253,15.746216,16.437215820312566,18.34673296546936,20.335938964843848,16.624939,18.57593896484389,18.625876405715942,20.522188964843814,17.031189,18.49218896484381,18.04632066631317
25.094383_121.51227,121.51227,25.094383,12.817355712890636,13.408356,11.187355712890628,16.22694030570984,17.65439843750013,15.733398,16.08439843750001,18.339972605705263,20.33098168945321,16.699982,18.540981689453243,18.67566740036011,20.250385986328137,17.089386,18.240385986328132,18.088301440238958
25.094452_121.53281,121.53281,25.094452,12.62938818359376,13.210388,10.959388183593754,16.11395699596405,17.194007812500082,15.583008,15.606007812500035,18.24333024597168,19.54373437500014,16.552734,17.813734375000028,18.60281107902527,19.788661132812614,16.977661,17.808661132812617,18.00666537475586
25.094505_121.553375,121.553375,25.094505,12.255647949218762,12.876648,10.565647949218755,15.92302921581268,16.52228051757815,15.2812805,14.910280517578132,18.0572193813324,18.59754052734379,16.26654,16.92754052734384,18.452184391975404,19.398946777343845,16.707947,17.42894677734385,17.862884932518007
25.09459_121.573944,121.573944,25.09459,11.654688476562516,12.455688,9.994688476562509,15.68874415206909,16.1706276855469,14.899628,14.478627685546885,17.8327933883667,18.319803710937556,15.898804,16.439803710937568,18.25356693172455,19.55120019531252,16.3302,17.501200195312514,17.651349415779116
25.09465_121.59451,121.59451,25.09465,11.461214355468767,12.332214,9.87121435546876,15.790946549415589,16.011781250000002,14.800781,14.389781250000008,17.941979894638063,18.764343505859507,15.8333435,16.880343505859322,18.43098945617676,21.26638940429701,16.30539,19.156389404296995,17.88950831890106
25.094696_121.61508,121.61508,25.094696,11.387316650390629,12.618317,9.91731665039064,16.031020260810852,15.92496362304686,15.093964,14.442963623046888,18.17535377407074,18.603658691406302,16.162659,16.903658691406353,18.682489438056944,22.151134277343807,16.700134,20.0811342773438,18.137103719711305
25.09475_121.63565,121.63565,25.09475,11.626403564453128,12.807404,10.166403564453136,16.200417238235474,16.05224145507812,15.241241,14.610241455078135,18.33324342250824,18.979826904296964,16.328827,17.387826904296837,18.849556275367732,22.88867211914076,16.957672,20.858672119140756,18.30060769367218
25.112709_121.4299,121.4299,25.112709,11.991316894531256,12.312317,10.269316894531224,15.66324467563629,15.54708276367186,14.766083,14.01508276367189,17.937187048912048,19.002407470703165,15.661407,17.03240747070317,18.285371052742004,19.86999169921887,16.028992,17.62999169921883,17.76306068325043
25.112793_121.45047,121.45047,25.112793,14.555761962890614,12.974762,12.71376196289063,16.10182579231262,17.639261718750014,15.468262,16.099261718750007,18.41036901950836,20.95988916015634,16.29889,19.20988916015638,18.73057501411438,21.16875390625006,16.697754,19.138753906250056,18.213303426742552
