,district,village,population_2011,population_2012,population_2013,population_2014,population_2015
237,萬華區,柳鄉里,5498.0,5566.0,5620.0,5689.0,5689.0
238,萬華區,凌霄里,3960.0,4019.0,4031.0,4003.0,4003.0
239,萬華區,頂碩里,7773.0,7874.0,7868.0,7726.0,7726.0
240,萬華區,富民里,5455.0,5453.0,5470.0,5397.0,5397.0
241,萬華區,富福里,6114.0,6290.0,6304.0,6374.0,6374.0
242,萬華區,華中里,6330.0,6351.0,6356.0,6492.0,6492.0
243,萬華區,華江里,8749.0,8726.0,8776.0,8857.0,8857.0
244,萬華區,菜園里,6141.0,6151.0,6137.0,6311.0,6311.0
245,萬華區,新安里,6522.0,6584.0,6526.0,6538.0,6538.0
246,萬華區,新和里,8194.0,8148.0,8217.0,8877.0,8877.0
247,萬華區,新忠里,3111.0,3338.0,3552.0,3683.0,3683.0
248,萬華區,新起里,6764.0,6787.0,6808.0,6814.0,6814.0
249,萬華區,萬壽里,3434.0,3519.0,3574.0,3641.0,3641.0
250,萬華區,壽德里,5630.0,5650.0,5643.0,5623.0,5623.0
251,萬華區,榮德里,3884.0,3872.0,3821.0,3827.0,3827.0
252,萬華區,福星里,5558.0,5579.0,5729.0,5760.0,5760.0
253,萬華區,福音里,3660.0,3718.0,3717.0,3708.0,3708.0
254,萬華區,綠堤里,4752.0,4743.0,4703.0,4617.0,4617.0
255,萬華區,銘德里,4833.0,4911.0,4909.0,4923.0,4923.0
256,萬華區,糖?里,5750.0,5764.0,5759.0,5783.0,5783.0
257,萬華區,興德里,5086.0,5094.0,5151.0,5220.0,5220.0
258,萬華區,錦德里,5603.0,5710.0,5775.0,5786.0,5786.0
259,萬華區,雙園里,4890.0,5002.0,5060.0,5112.0,5112.0
260,萬華區,騰雲里,3143.0,3124.0,3116.0,3127.0,3127.0
261,文山區,木柵里,8954.0,8957.0,8850.0,9063.0,9063.0
262,文山區,木新里,10049.0,10221.0,10347.0,10443.0,10443.0
263,文山區,老泉里,955.0,977.0,1002.0,983.0,983.0
264,文山區,忠順里,3885.0,3910.0,3993.0,4025.0,4025.0
265,文山區,明義里,4886.0,4882.0,4736.0,4643.0,4643.0
266,文山區,明興里,7110.0,7153.0,7211.0,7244.0,7244.0
267,文山區,指南里,3427.0,3560.0,3694.0,3862.0,3862.0
268,文山區,政大里,6929.0,7225.0,7515.0,7733.0,7733.0
269,文山區,博嘉里,5495.0,5578.0,5718.0,5822.0,5822.0
270,文山區,景仁里,4906.0,4983.0,5010.0,5104.0,5104.0
271,文山區,景行里,7054.0,7140.0,7233.0,7500.0,7500.0
272,文山區,景東里,7723.0,7744.0,7694.0,7721.0,7721.0
273,文山區,景美里,5418.0,5415.0,5471.0,5554.0,5554.0
274,文山區,景華里,6263.0,6268.0,6324.0,6246.0,6246.0
275,文山區,景慶里,7152.0,7160.0,7180.0,7046.0,7046.0
276,文山區,華興里,9005.0,9033.0,9101.0,9187.0,9187.0
277,文山區,順興里,7579.0,7774.0,7880.0,8118.0,8118.0
278,文山區,萬年里,5415.0,5569.0,5627.0,5679.0,5679.0
279,文山區,萬有里,5606.0,5686.0,5749.0,5871.0,5871.0
280,文山區,萬和里,2991.0,3263.0,3312.0,3367.0,3367.0
281,文山區,萬芳里,8226.0,8236.0,8247.0,8337.0,8337.0
282,文山區,萬美里,7284.0,7342.0,7359.0,7548.0,7548.0
283,文山區,萬盛里,4757.0,4795.0,4875.0,4969.0,4969.0
284,文山區,萬祥里,4875.0,4967.0,4904.0,4972.0,4972.0
285,文山區,萬隆里,7804.0,7798.0,7743.0,7713.0,7713.0
286,文山區,萬興里,8620.0,8606.0,8784.0,8873.0,8873.0
287,文山區,試院里,7038.0,7152.0,7220.0,7266.0,7266.0
288,文山區,樟文里,6531.0,6596.0,6613.0,6663.0,6663.0
289,文山區,樟林里,8758.0,8855.0,8913.0,8902.0,8902.0
290,文山區,樟新里,5928.0,6046.0,6048.0,5996.0,5996.0
291,文山區,樟腳里,5794.0,5886.0,5917.0,5988.0,5988.0
292,文山區,樟樹里,5066.0,5091.0,5107.0,5178.0,5178.0
293,文山區,興光里,3620.0,3614.0,3679.0,3697.0,3697.0
294,文山區,興安里,6762.0,6803.0,6864.0,6820.0,6820.0
295,文山區,興邦里,4542.0,4672.0,4735.0,4865.0,4865.0
296,文山區,興旺里,8065.0,8251.0,8435.0,8517.0,8517.0
297,文山區,興昌里,6978.0,7001.0,6997.0,7047.0,7047.0
298,文山區,興家里,7750.0,7862.0,7977.0,7937.0,7937.0
299,文山區,興泰里,4000.0,3966.0,4042.0,4066.0,4066.0
300,文山區,興得里,6330.0,6355.0,6324.0,6319.0,6319.0
301,文山區,興業里,5515.0,5574.0,5614.0,5607.0,5607.0
302,文山區,興福里,6457.0,6408.0,6356.0,6342.0,6342.0
303,文山區,興豐里,4940.0,4936.0,4941.0,5088.0,5088.0
304,南港區,九如里,6486.0,6682.0,6730.0,6733.0,6733.0
